"","Product.Name","Rating","Reviews"
"258488","New 5.5""Sony Xperia C4 E5333 Black Factory Unlocked International Version no warranty",1,"Battery never lasted more than a few hours right from the first use. Ended up changing plans and got a better phone for a lot less money."
"258576","New Hatsune Miku Limited Edition SO-04e MK (Official unlocked mobile phone) (Limited Green)",5,"This is a very stunning looking phone with very nice exclusive apps that are only on this phone. If you are a vocaloid fan, you should really consider getting this phone. I would just like to say this though. I had used Verizon for quite some time but when I got this phone and did some looking into different networks and how they work I realized that Verizon uses very unique technology and after talking to their tech support for quite awhile we concluded that the technology they use is too different from the rest of the world to get this phone functioning on their network. However, I took it to AT&T (as they use a network much more similar to the rest of the world than Verizon) and it worked beautifully. Talk, text and wifi all worked great with just putting in a SIM card. In order to get the over the air internet (3G) working I had to set up an APN on the phone for AT&T's network (you can google the settings real easy).I thought about giving it 4 stars for not working with Verizon, but then realized that I can't take any credit away from this phone for being incompatible with a network that is different from pretty much ever other network in the world. 5 stars from me."
"277509","Nokia N97 Unlocked Phone with Touchscreen, 3G, 5 MP Camera, A-GPS, 32 GB, MicroSD Slot, and Integrated Ovi Applications--U.S. Version with Warranty (White)",4,"Tengo una semana de estar utilizando este teléfono celular. Es mi primer Nokia y al principio fue un poco frustrante por que no sabía donde buscar las aplicaciones, yo estaba acostumbrado a los celulares Sony Ericksson y me sentía muy cómodo con ellos pero por las características que presentaba el N97 su gran cantidad de memoria ser de tecnología 3G, los buenos comentarios que había escuchado y por precio decidí comprarlo en lugar de un Sony Ericksson.Como mencioné al principio me frustré pero era mas por desconocimiento que otra cosa por ejemplo le instalé el navegador Opra mini ya que el navegador que el trae no me gustaba pero cuando me conectaba a Internet lo hacía atravez del navegador predeterminado y yo no sabía que tenía que entrar a aplicaciones y de ahí accesar a Opra. Pero poco a poco fui encontrandole las aplicaciones y debo decir que ahora estoy muy contento.Las cosas buenas de este celular:1) Esteticamente es muy lindo, la resolución de la pantalla hace que las imágenes se vean muy nítidas.2)La cámara y el video no tienen nada que envidiarle a un artefacto dedicado es decir a una cámara digital o a una videocamara, las fotos son muy bien logradas y el flash realmente funciona en lugares oscuras se pueden apreciar perfectamente los detalles.3) La conexión a Internet es muy buena, gracias al zoom puedes agrandar o disminuir la imágenes las cuales se aprecian muy bien, logicamente hay páginas que por ser tan grandes no se observaran como en la computadora, pero en realidad la navegación es placentera siempre y cuando no tengas que estar digitando algo.4) Conectarte a las redes sociales o a tu correo electrónico esta a un click de distancia y como dige antes en segundos y puedes leer archivos en formato de word excel o PDF. Es decir si no estas cerca a de una computadora no hay ningún problema te sacará del apuro, aunque repito la experiencia aun no es como con la computadora pero ese es un problema en todos los teléfono inteligentes. Yo reviso mis estados de cuenta, puedo hacer una compra en Amazon pagar recibos entrar al banco hacer transacciones, etc, etc.5) El teléfono es robusto se ve fuerte aunque aun no se ha llevado ningún golpe6) Tiene todas las funciones de los teléfonos convencionales pero a diferencia de otros estas realmente cumplen por ejemplo si tienes una grabadora tu esperas que cuando des click esta realmente grabe y esta lo hace, yo he tenido telefonos que cuando quise usar la grabadora esta simplemente no funcionó. Puedes vivar con ello pero da cólera que una aplicación no funcione como debiera.Pero bueno no todo es perfecto y lo que no me gustó es lo incómodo que resulta a veces el teclado qwerty a veces cuando estoy navegando si por alguna razón tengo que digitar algo puedo desplegar texto en pantalla pero en otras ocasiones esta característica no esta disponible y me obliga a usar el teclado y no se si es la falta de costumbre pero soy mucho mas diestro con las teclas de un teléfono que con este tipo de teclado y me demoro mucho por lo que me resulta engorroso. Pero bueno no se talvez dentro de unos meses ya me halla acostumbrado.Pero por lo demás creo que son mucho mas las satisfacciones imaginense pueden utilizar este teléfono como un GPS yo en la particular no lo uso por que ya tengo un Garmin que es una belleza y al cual ya estoy super acostumbrado pero bueno esta es una aplicación que bien vale la pena utilizar si esta disponible. En sintesís le digo comprelo no se va a arrepentir, a y se me olvidaba la pantalla táctil funciona a las mil maravillas esta era una de mis principales dudas, pero me di cuenta que si funciona y excelentemente bien, el secreto es calibrarla la pantalla a tu gusto, si gustas de apretar mucho el lápiz pues así la calibras a mi me gustan los trazos suaves y así la calibré y apenas dejo caer el lápiz y la función se aplica. Así es que es una buena inversión la única razón por la que no le dí cinco estrellas fue por la razón del teclado por lo demás no hay quejas."
"277510","Nokia N97 Unlocked Phone with Touchscreen, 3G, 5 MP Camera, A-GPS, 32 GB, MicroSD Slot, and Integrated Ovi Applications--U.S. Version with Warranty (White)",4,"Big and heavy. It is difficult to configure access to web. Excellent sound and screen resolution."
"277511","Nokia N97 Unlocked Phone with Touchscreen, 3G, 5 MP Camera, A-GPS, 32 GB, MicroSD Slot, and Integrated Ovi Applications--U.S. Version with Warranty (White)",2,"This is an expensive phone with three major problems for which I gave it a two-star. First, the reception is much weaker comparing to my old phone (Motorola Ming). Once the reception is lost, it could take a minute or more for you to be able to see some signal bars appeared again. Second, the connection is another issue for this cell phone. It gives a lot of ""connection error"" messages, and I have experienced way more call drops since I changed to this cell phone. Also, the home screen rotates easily from vertical to horizontal, but it doesn't do the same backward. I have to shake the phone with some strength for the home screen rotate back to vertical. Overall, I am very disappointed with Nokia N97, but since I paid a good amount of money for it, I have to stick with it for a while."
"277512","Nokia N97 Unlocked Phone with Touchscreen, 3G, 5 MP Camera, A-GPS, 32 GB, MicroSD Slot, and Integrated Ovi Applications--U.S. Version with Warranty (White)",5,"I am very satisfied with this phone. Works great on AT&T 3G & EDGE networks. The Ovi Store is a great app store that allows you to download apps, themes, and other content for your Nokia phone safely. I would not recommend installing any apps that are not through the Ovi Store. I did and ended up having to reset my phone, losing some of the content that came originally on the phone. Great phone, though. Only drawback I have noticed is that depending on how you hold the phone, sometimes your voice comes across muffled to the person you are on the phone with."
"277513","Nokia N97 Unlocked Phone with Touchscreen, 3G, 5 MP Camera, A-GPS, 32 GB, MicroSD Slot, and Integrated Ovi Applications--U.S. Version with Warranty (White)",3,"I am a big Nokia fan and really liked my 5800 and 5530, so I was quite looking forward to playing with the N97. This is a exquisite piece of hardware, the feel of the device is the nicest of any phone I have owned. But the software is really showing its age, even compared to newer, cheaper Nokia phones.Nokia really are asleep at the wheel, the 5530 shows they can do reasonable job of making a touch phone using S60 but they have let their S60 flagship lag far behind other S60 phones that are less than half the price. I gave both the 5800 navigation edition and the 5530 XpressMusic 5 stars based on the great usability and incredible value, but the wonderful N97 hardware is let down by old software.Good:- Wonderful hardware.- Excellent call quality- Very extensive feature set.- Very nice screen in sunlight.- White color looks great.- Nice keyboard (except space bar).- 32GB internal storage.Bad:- Home screen lacks scrolling contacts of 5530.- Inconsistent touch menu (some double, some single tap).- Very small space bar.- Mediocre browser.- Weak FM transmitter (not powerful enough for car use).- Ovi Maps lack search (you need to have google maps installed too).- No in-line spell check.Don't even waste your time comparing this phone to true smartphones like nexusone, droid or iphone 3gs, its just not in that league software wise, only price wise. When you see what google and apple have done so early in the smartphone game, it really is a shame for Nokia. Such great hardware let down by such bad software. And before you say N900, I had one and returned it, maemo shows promise but is far from ready for primetime use and the hardware is a brick.If you have lots of money, already like Nokia S60 phones and have never used an iphone or droid you should love this phone. Everyone else steer clear of it, looks at the 5800 or 5530 if you wanna go Nokia."
"277514","Nokia N97 Unlocked Phone with Touchscreen, 3G, 5 MP Camera, A-GPS, 32 GB, MicroSD Slot, and Integrated Ovi Applications--U.S. Version with Warranty (White)",3,"The phone is very clean looking and I loved the keyboard and everything. However, the OS of this phone is old-school looking, and I didn't like that I had to use my nail to select things on the phone. I was use to the iPhone where you use your actual finger. The phone does let you use your fingers, but you end up choosing stuff that is above, below, or next to it. They give you an option to buy a stylus, but why do you HAVE to get a stylus to get better performance from the phone?There were also quite a few buggy problems that I had with the phone, but not serious enough to handicap the phone. This is a nice phone if you don't care about specifics and just need a phone to do basic things on.The camera I didn't feel was as awesome as they keep advertising. The quality was good enough but that's it. Not a huge WOW factor. Video was the same. Then again it is a phone, not a digital camera. I didn't like how I would turn off the flash of the phone and the light still went off when I took the picture (hard to be discreet).Overall, I think the phone was okay, had more cons than pros in my opinion."
"277515","Nokia N97 Unlocked Phone with Touchscreen, 3G, 5 MP Camera, A-GPS, 32 GB, MicroSD Slot, and Integrated Ovi Applications--U.S. Version with Warranty (White)",4,"Symbian is an acquired taste, if you don't like/not used to s60v5, you won't like it even with 2.0 firmware. 2.0 firmware is what the N97 should have been released with. Given the N97 mini is $50 cheaper and it is 99% of what the N97 is, I would get the mini instead."
"277516","Nokia N97 Unlocked Phone with Touchscreen, 3G, 5 MP Camera, A-GPS, 32 GB, MicroSD Slot, and Integrated Ovi Applications--U.S. Version with Warranty (White)",4,"Nice phone. Does not have the license to use all the applications included in it like the document editors, etc."
