"","Reviews"
"1719","I really like the phone but unfortunately my tmobile sim does not fit on it. Too bad I have to return it."
"1720","Love it, it's fast slim, and very sleek. The only down side is that it's slippery."
"1721","this product must be defective i plugged i in to charge and thought it was gonna caught fire. returned it immediately still waiting on my refund"
"1722","I am very happy with my cell phone. Beautiful and friendly"
"1723","We've had this phone for 3 months or so, and it just decided to completely quit working. In the middle of the day, it shut off and now refuses to turn back on (the battery was at 60%).Aside from the fact that it no longer works, we were having trouble with various aspects of the phone. It would constantly switch networks in the middle of calls and then hang up on the person you're talking to. Additionally, the battery life *might* be good for 12 hours, and the GPS does not work---it updates two or three miles after you've missed the turn."
"1724","Update: the phone has been under repair by sony for 6 weeks, ""waiting for parts"" with no information on when it will be sent back. That makes nearly 3 months of repair time in 7 months of ownership. This phone has gone back twice, and my daughter's Z3 Compact has gone back once for the side charge port coming off, and been fixed a second time by me for the same issue, along with a new back, which spontaneously shattered while sitting on a car seat about 1 week after the warranty expired.Well, I bought this phone for $200. But it is really a $400 phone since you have to buy 2 of them. One to use, and one to send back for repair. Actually a fine phone when it works. First phone had the screen fail after a few months, now replacement has the microphone and earpiece fail a few month later. A smart phone kinda needs a screen and a microphone and speaker. Like I say, just buy 2."
"1725","Not the best quality. Doesn't really protect the cell phone, just by scratches."
"1726","I have had overheating and shut off issues ever since I purchased this phone, but I sucked it up. In December a software update prevented the phone from restarting continually when it overheated. However, it still, overheated. In March the phone died. It Refused to charge it just gave up the ghost. I sent it to Sony for repair and one month later still no phone. It is impossible to speak with anyone at the repair center and the customer service is equally hopeless. My advice is to keep your money. If you are ever unfortunate enough to need a repair you will be on your own."
"1727","Here is why. It arrived, I charged it, got it to the store and activated my sim for it with my plan, the problem with this phone is it constantly restarts. I've tried several things and no luck. Every time it updates an app or downloads something, it restarts. Your in the middle of doing something, it freezes for about 5 seconds... then restarts. It sits there and I'm not even using it, you guessed it, restarts. Also it gets hot, even after 1 minute of use. That is very irregular. I finally gave up after the third time it went unresponsive and black screen. Last night it ""stayed on"" somehow with a black screen and overheated. The battery was depleted when I woke and it was very hot. DO NOT GET THIS PHONE."
"1728","So I've always been bad lucky with Blackberry and Blu. My first time owning a Sony Phone. Was super amazed that it was water proof. Threw it in water last night for couple minutes and its still up and running. Can't go wrong with this phone. Its cheap plus have amazing specs. My only wish is that I got the dual SIM version."
"1729","very good"
"1730","Really a junky phone. Have only had 4 months now, and cannot hear a phone conversation unless I have it on speaker phone. Also constantly loses the 4g connection, I have to restart the phone so it will connect."
"1731","Great"
"1732","Worst cell phone ever, not reliable. It just heat itself and turn it off for several hours until the battery is drained. Not recommended at all, returning it to amazon."
"1733","I am writing to you to report the problem has been happening with my Smartphone Sony Xperia M4 Aqua , which since last January I have given use, it turns out that the problem started slightly from about 2 months turned off and lit , passing day the fault was increasing as the image on the screen froze , then think of a distortion of colors and shapes, he turned it off and had to resort to forced restart.The phone will have been two factory reset , and does not have different applications bringing (except for Whatsapp ) and currently does not work, start logo Xperia then Android , distortion of colors and shapes occurs on the screen and is off and so is every cycle ."
"1734","I received the cellphone in January 2016 because im from Venezuela. Its was a gift for my girlfriend and the last month was her birthday. The cellphone does not charge, the green led is off even when the charger is conected. I tried with differents chargers, computer conection, differents cables, press the reset button for 15 seg 30 seg 1 min 5 min. Press the vol+ and power button, vol- and power buttom, press the power buttom for 5 min, all kind o recommendations from sony.com and nothing. The cellphone does not start. I want to know what i can do about it. Thank you for your time."
"1735","I've been having some problems with the phone. I've tried to get a hold of the warranty that it came with and they said to just master reset my phone. I like the phone its just giving me a lot of technical problems."
"1736","*Update after 5 months*Loud speakers blew out.I'm pretty sure it's from being caught in heavy rain a couple weeks ago.Buy this POS at your own risk.It's cheaper right now so it could be worth the money.I've had this phone for a couple months now. I really haven't had a problem with it. The screen can get pretty warm at times but it hasn't overheated. The camera is really nice just not great in horrible lighting and the battery life can drain pretty quickly depending on the activity, but that's fine lol my only real gripe is that there aren't any good (protective) cases for it."
"1737","The phone itself is not bad, but the customer service from Sony is awful. After a few months of using the phone, the ear piece in the phone stopped working, I called sony and explained the problem, it still worked on speaker, and with the handsfree set in, but not when holding the earpiece to my ear. They insisted it could be a software glitch and had me reset the phone..... twice, which did not work.So I had to send it in for repair, and this is where the fun starts. Having been told it would take about 14 business days to fix and send my phone back, I am currently still waiting and we are on business day 28. To this point, after 4 phone calls, and 3 emails (because one representative actually told me that they didn't have a way to call people at the facility where the repairs take place, true story!), still no-one can tell me when the phone might be fixed.With that in mind, I asked for a replacement phone the last time I contacted them, I felt that was not unreasonable as they were well past their own schedule for repairing and returning my device, and clearly could not give any clue as to when it might be done. They simply ignored that request and said that my phone would be repaired and sent back when they got the parts in. This could be in 6 days, or 6 months.I would not by this product and would recommend people avoid sony products if this is what happens when the slightest thing goes wrong. The support (or lack thereof) is appalling for a company of their size and standing, and it could be a simple fix, if they would just replace a device when they are having so much trouble finding the part they need for it. Instead they are leaving a paying customer hanging, with no recourse, and without the phone paid for."
"1738","I bought this one. However It was not work. So, I returned this item, however my credit card was charged again by seller's mistake. DO NOT BUY THIS s***"
"1739","Perfect . Amazing phone for that price . I recommended a lot"
"1740","Received this product very quickly after purchase (I ordered it monday and got it on friday). So i really liked that. It was a new phone, the color on the box was not the color of the phone, which i didn't mind at all. (The box showed a white phone, though i had ordered a black one) Turned it on and works beautifully right now.Price: not terrible for this phone, so all around I am happy with my purchase"
"1741","Do not buy this product. I hate it. This is my first comment. I used this to take some photos. However, the photos can not be saved to the phone."
"1742","I HAVE ORDERED MY PHONE AND RECEIVED IT, WHEN I TRIED SWITCHING ON IT DIDNT ON AND I TRIED PUTTING CHARGING BUT STILL ITS NOT ON,TRYING TO CALL CUSTOMER SERVICE WILL SEE WHATS THERE RESPONCE ??"
"1743","Not sure yet"
"1744","This phone though a nice slick phone has a serious heating problem at the back. Even through a hard case its still warm to the touch. Sony needs to get this temperature thing right?"
"1745","A very sturdy phone, little bit slushy at times, but makes my teen-aged son happy-happy. Heats up soon with few apps/games running (and especially if you have a protective case). As an ardent Sony fan, the price and the quality of this phone is good. Would have given 4+ if not for the sluggish and heat factor. Best suitable for an early teen with minimal usage (and as expected gaming usage)."
"1746","Had for about a week, with no complains. The only problem I've noticed is a typical heat increase when gaming, and the YouTube isn't the best (takes a while to load videos)"
"1747","Love it"
"1748","I wanted to like this, but it has too many problems to keep. It's a great size, lightweight and waterproof. However, the battery life on it is horrible when playing games, it drops > 10% in half an hour. Like many other users have mentioned it gets really hot. Games like Bubble Witch crash or lock up when playing for more than 15 minutes."
"1749","Great device"
"1750","excellent cellphone just a bit overheat when using it full"
"1751","This is Ok mobile, worth for the price. But as many reviews said it has heating problem, On start when all applications starts- Mobile gets heated very quickly. But Good part is over the time in a minute or 2 it gets cool down.Heating problem is probably because of its Water proof feature. Since all body is air tight, very space for air ventilation inside."
"1752","I've been a Sony user my whole life and I'm usually pretty pleased with them. Sony phones are super user friendly and I usually just like the overall quality of their phones, but this phone is a game changer! I feel like this is the most luxurious phone I've ever held! I take lots of pictures so the first thing I played with was the camera, and I started to get worried because I read reviews it wasn't that great, but I think its wonderful. It does very well in low light and it seems to fit more into the picture, it also has cute editing settings for those who like to play with pics. It set up very quickly and I was able to update and download all my old apps that I liked in a reasonable amount of time. I heard phone calls were quiet but I made a few phone calls and played with ringtones and they seemed loud enough to me, the dimmest brightness setting is still very bright, and I was able to send and receive mms very quickly which is something I've found to be on the slower side with Sony phones. I have yet to test just how waterproof the phone is but based on videos and other reviews I've read I'm betting it'll hold up through anything I could/would ever put it through. The phone took just under 2 hours to fully charge and it actually does last 2 days! I put it through at least 12 hours of internet streaming and made phone calls and texts before needing to charge it again at the end of the second day, also I had like 12 apps running at once before I decided to close them all and you'd never even know all those apps were running it was so fast! I definitely recommend this phone to anyone looking into it."
"1753","A good phone."
"1754","Very good phone! Even though the camera was broken so i returned it! And bought another one from other brand! Anyway the phone is very fast and has a good size like the xperia z3! I love the fact that is waterproof even though i could never experienced it. I would recommend is you are looking for a budget phone this one will work just fine"
"1755","I love it"
"1756","Great product."
"1757","A good phone!"
"1758","Slow Phone! Looks good, takes good pictures but its slow and the Phone interface SUCKS big time. I am new to android but I ordered a LG G3 for my wife after i ordered this for myself. Gotta say the LG G3 is WAY BETTER than this and also is 32 GB for $20 more!Sony really failed with their Phone interface on this phone, even though it s a smart phone most people still use it to MAKE CALLS, please keeep that in mind SONY and make sure you have a user friendly phone interface on all your phones."
"1759","Very good phone so far. I'm delighted with it."
"1760","i love this phone, first one they sent me wasnt working, told them, they changed it, and the new one is working perfectly, runs fast enough for me, great camera, lightweight, not to big-not too small"
"1761","Only had the phone a day so keep that in mind when reading this review....My last phone was the Nexus 4. I had it just under 3 years. Great phone. Its lack of LTE bands and limited space (16GB with no SD card) was a problem. Other than that I'd still have the phone. I have no interest in paying the premium for a flagship phone as midrange phones are plenty for my needs. I tried a couple different refurbished phones but each on had problems...I assume because they were used/refurbished. So I knew I had to go with a new phone. I did get the invite for the OnePlus X but canceled my order when I decided that it lack too many LTE bands to be as useful as it could be in the US (really band 4 was the only option). I was thinking about getting a Z3 but even used ones were still way too expensive IMO. So I saw this one.I knew when I ordered it that it was not a flagship phone. It has a 13megapixal camera which is not flagship quality but...its not a flagship. The battery is only 2400+ which is low compared to flagship but...its not a flagship phone. CPU...not flagship quality but... you know.Its not a flagship phone but it is also 1/3 the price of a flagship phone. It offers all the gsm LTE bands you could want (for the US). Its thin. The battery isn't 2 days as Sony says but in the 1 day I've had it I've been impressed (Nexus 4 was smaller battery so this better). Camera is only 13megapixal but its better than the 8megapixal I was use to. Its practically stock android (something I am use to).On a personal note: I like the design of the phone. I never liked the rounded back you get on many phones now a days. I like when my lays on a table that it doesn't rock when you click on the screen. I like the relatively squared corners of the M4. It gives the illusion of a good phone to screen size ratio. I completely understand others might not share these opinions. Its just my preference.For the money its a good phone. For now I'll give it 5 stars as my limited experience has been nothing but great.While I appreciate what flagship phones give you (my Nexus 4 was a flagship phone in its time) and I could afford it if I wanted but what you get for the cost just doesn't out weigh a number of mid-range phones priced in the $~200 range.Edit #1 (1 week):Absolutely no complaints. Its a beautiful phone..especially in its price range. The battery has been absolutely fantastic for my use. I am confident I could get almost 2 days on my normal use. My more significant use (when my son gets his hands on it) does drain the battery faster but I can still get over a day with it. This is the first phone I've had where I know I do not have to plug it in during the day and can probably skip charging every night.Edit #2 (2 months):Fantastic phone. For the money I am shocked how good it is. It is only running Lollipop but I can only assume that the Sony customization to the OS has added something to improve battery life (like what Marshmallow gives you today). When I am at work I probably listen to music (from the SD card) for about 4-5 hours a day. Add in a little internet usage throughout the day and I still have ~60% battery life by the end of the day. As I said before when pushed the phone can drain quickly (son playing lots of games or watching YouTube videos) but for my normal usage this is quite nice for me. My Nexus 4 would not make to the end of my work day without needing to be plugged in if I did the same thing (music and some internet browsing).The camera is? Well the camera itself is quite nice. But the Sony camera software isn't quite right. Its slow. The Android camera app is a definite improvement. So I am not going to change my 5 star review for a slow camera app (that would be silly).I did find one problem though: I had paired my phone with my car (Honda Fit). Everything was working fine for days/weeks. Then one day I realized the car was not informing me of text messages from my phone. Seems the phone had some sort of issue with bluetooth and its saved pairing with the car seemed broken. I had to delete the pairing my phone and car had and recreate the pairing. Its been fine since then. Not sure what happened or what caused the issue but all seems fine now. I suppose if I could do 4.5 stars I'd consider lowering my review but since I cannot I am sticking with 5 as I think it is better that 4 stars. Plus....its possible my car was the problem and not the phone (but I did not have this problem with my previous phone).Anyways....love the phone."
"1762","Great phone. Used it for about a month and have no problems. Battery lasts all day even with high usage. Only have 1 app that won't work because the company only has it available for IPhone or Samsung. Just had to get a different SIM card from my service provider to get started."
"1763","Nice looking phone, but Sony sucks. Their quality control is completely ridiculous and constantly send out defective phones. The mic will work 2/5 times on this phone even while doing the diagnostic test."
"1764","I got this phone to replace a broken LG G4 and I have to say it's a decent mid-range phone.Pros: Waterproof Sleek design Decent headset audio and speaker volumeOverall decent performance. Excellent battery life with stamina mode on, even with LTE. I got nearly four hours screen on time.2GB RAM is enough for multitasking.Seamlessly transitions from LTE to 3G to 2G depending on coverage area. Downloads are super quick on LTE (Panama's 10x10Mhz 700Mhz Band 28 LTE went as fast as 50mbps/20mbps dl/ul) Micro SD card support up to 128GB.Bootloader can be officially unlocked and there is a small custom ROM community on xdaCons: Can get laggy with games. Display is not as good as the Z3 seriesCamera quality is so-soGets a bit hot with extended use though it cools quickly.No double tap to wake like on the Z3 series.Comes with useless bloatware installed,luckily some of it can be eliminated.Overall. I'm happy with it for now."
"1765","As always Sony is ahead of the pack of phones I have ever owned. I had several Sony's in a row and due to budget and carrier restraints I had a Windows phone for 6 months. Well I am back and while it is not the newest and best Sony offers it is by far more amazing than other phones I have tried from friends and relatives.The specs may be lower but it is to be expected from a mid-range phone after all. Honestly for me it is on par with the high range phones I had previously from Sony's Xperia line.If you are tired of waiting for the latest and greatest from one particular company who shall remain nameless, BUY A SONY AND GET MANY OF THOSE FUNCTIONS NOW RATHER THAN WAIT 1-3 YEARS FOR THEM TO CATCH UP.Yes, there is a heating issue with the phone, but logic just tells you if it is heating up too much it is time to put the phone down and get back to life.As for apps all my old favorites load perfectly well and several I was waiting to try are beyond amazing on this phone. Something I definitely could not say for my few apps on my Lumia phone prior to this.Essentially if you are looking for an amazing phone that will provide you with all the features and apps you need and have become used to having on Android, pick up this phone and support SONY as they have truly innovative products on the market.The SONY XPERIA line of phones is definitely worth the money and buying UNLOCKED from Amazon mean no excess carrier bloatware that slows the phone and makes any amazing phone seem to be a letdown."
"1766","I have had the phone for a couple of weeks. Got it on a pre-black Friday sale for $199. For the price-point, it is a pretty good phone. The processor is pretty quick and it has 16GB memory with the capability of adding a microSD to expand an additional 128GB. I have a 32GB card in mine. It can free up space by transferring apps and files to the microSD with a touch of a button. That is a nice feature that my LG did not have. It also has the auto-screen brightness adjustment which isn't always offered in phones at this price-point. I have had a bit of a learning curve switching to Sony from LG, but it hasn't been too bad. My apps didn't all load automatically when I logged on with my Google account, which was a bit of a pain. (And one app was no longer available, so I lost that one entirely.) I haven't tried the headphones, but the Bluetooth works fine with my car stereo. The camera has all kinds of special features that I will most likely never use (like adding an animated dinosaur to your pictures). It seems like a pretty decent camera so far. Calling and texting work well. I did have to manually enter my APN settings for Net10, but that was simple enough. My daughter ended up getting one of these phones as well."
"1767","Phone instantly started overheating as soon as I turned it on and began to set it up. Horrible."
"1768","The phone works fine but wont hold charge the battery drain very fast, I fully charged night before in the morning the battery only has%30 .it has also over heat problem."
"1769","Excelent price, excelent hardware and price... great phone...."
"1770","i was very happy to purchase this phone was really fast shipping thanks to amazon butt very disappointed after i receive camera failure afer 2 pictures and going very very hot top back of the phone see picture i was big fan of sony butt very disappointed with this product I'm going to returning thanks as amazon costumer"
"1771","Heats up like hell. Cant hold to the face. This is the behavior right out the box. Wished had opened it sooner to send back. (Sigh)"
"1772","Over heating and restarts on it own several time in a day. I bought this afyer my experience with z3. As a second for my house hold use. Cobtiuesly having issues of restart regardless of uninstalling lot of apps and running with n dafe mode for a while. I always think Sony is good because t thisnone failed. May be next time I should think or wait till get a good review on new phones."
"1773","Good design but it slow compared for the price range"
"1774","The Phone turns off everytime i don't use it... And the unic way to turns it on is pressing the emergency ""off"" button... I think this product was broken because that price... I want a refund of my money."
"1775","Great phone"
"1776","My son loves this phone. It is fast enough to handle games and daily tasks. The screen is clear and responsive. I can't attest to the water resiliency as he bought a case for it to protect it. I highly recommend. It worked great with the Straight Talk Sim card I purchased here on Amazon for a discount."
"1777","awesome phone"
"1778","MIC/SPEAKER STOPPED WORKING 2 WEEKS AFTER THE 30 DAY REFUND/RETURN PERIOD!!!!"
"1779","Great!"
"1780","phone is very sleek and attractive. very light in the hands.. set up was a cakewalk.. android 5.0 preinstalled. pretty quick response time .. overall impressed with this phone. has gotten a little warm with heavy use but nothing extreme like noted in some of the other reviews, completely happy with my choice.. my last phone was a galaxy s4 active. so to still be impressed.. it says alot. i would so make the same decision again"
"1781","very good"
"1782","Love it. It's awesome for a $200 phone! It is waterproof. It works with any network that uses Sim cards. It does get warm when the processor gets going like other reviews state, doesn't affect operation. Camera is okay. The warranty is badass. The screen cracked and they replaced it immediately."
"1783","The phone itself is OK. It heats up too quickly. The worst part is Sony's Xperia Protection which rendered my phone useless and bricked it. If you purchase this phone don't use this feature."
"1784","Very good!"
"1785","Unfortunately this phoneis giving me tons of errors since the beggining, now the camera is not working, the has never been dropped I wrote to Sony looking for an answer but they didn't reply, I bought this phone on December 2015. I feel ripped off!"
"1786","You get what you pay for has some issues bit price was right"
"1787","Love this phone for my daughter"
"1788","Excelent price. It's a good Android Phone, not the top but good enough."
"1789","MY husband loves it"
"1790","All time is super heated, sometimes does not turn, I have to reset it, and rear camera does not work, shows Error"
"1791","I recently bought this cell phone, it was supposed to come unlocked, but no, this completely blocked. The google account is blocked surely with another person's password, Please I need HELP!!!"
"1792","I bought this product on january 2016 as new. I had an issue with my Sony Xperia M4 recently. I dropped it in water however it said that it is waterproof it is not working anymore. So I went to a Sony technical service and they opened it, then they realized that the cellphone was not new.I feel that I was swindled, because I paid for a new product but instead I got one refurbished one."
"1793","This is a review on both the product and Sony's service. Four months after I bought it the screen was having issues. A vertical band of dead pixels on the right side of the screen. Sony received the RMA shipment on May 25th. Their service terms claim a 15 business day turnaround time. Till date they have not been able to tell me when I would receive the repaired phone. Calls and chats with customer service department end with -- "" we don't have any information at this time. Contact us next week..."". I would have been better off returning the phone to Amazon."
"1794","Just as expected, a good phone with good specs and great durability. It's been used everyyday in a professional kitchen setup, subject to splashes, fat and heat without a glitch"
"1795","good price for smartphones. gave this phone for my in laws, she is using it everyday."
"1796","Don't know if it's the phone it self or if the seller got a bad batch to sell but this phone is absolute worst,from it not being waterproof to the battery getting ridiculously hot to it not even charging the way it should anymore and all of these problems are only after a couple of months of use"
"1797","don't buy. this phone suffer from Sudden death and the Sony support its the worst.No lo compre se apaga y no vuelve a prender el servicio de sony apesta es el peor te mandan de un lado a otro."
"1798","nice phone, recommended"
"1799","I've tried Samsung, HTC, Motorola and this Sony is by far the most superior phone I've ever had. This model is mid range ,I can't imagin what a top of the line Sony would be like.Xperia fan for life"
"1800","Great phone - except battery life is awful. Phone, hardware and operations is, in my opinion, great so much that I continue to use this phone despite its short battery life. and for the price I paid (amazon holiday sale $150) I cant complain a bit"
"1801","This worked great when I first got it but after a few months I started getting problems with the speaker and charging port. I will not be buying this again."
"1802","Excellent phone. Probably the best phone I ""ve ever have for this kind of money...."
"1803","This is my third Sony phone in 15 years. Couldn’t be happier. Lot of my friends like this phone more than their iPhone. What else can I say."
"1804","nice!"
"1805","I bought this when my Xperia z3 for TMobile screen broke for the third time. Figured I'd just buy a new phone. Didn't want to buy a current gen for $700 so I figured this next-up gen would be better. All I really want in a phone was that it was water proof(resistant now) and had a good battery. The z3 fit that bill easily so I thought the m4 would too. Everything about this m4 is less responsive than the z3. Touchscreen feels different/less responsive and apps loading/switching is less responsive. But hey, for the price it's not bad and it definitely fits what I'm looking for. Battery lasts forever on moderate usage and dunking it isn't a problem. Just wish it was better than the last generation."
"1806","Worst phone ever had in life. Speakers are not working. Really waste for money. Is this possible to exchange the phone by any chance. Please advise"
"1807","Can't go wrong for the price. Good phone. VERY waterproof."
"1808","The Battery dies quickly, and takes ages to charge, more than 12 hours for a full charge. The microphone stopped working after 2 months of purchase. The speaker is the worst, you can barely listen at people The camera takes horrible pictures and using the flash you only see big giant white stains"
"1809","I am very satisfied, I exceeded my expectations, excellent cost-benefit."
"1810","phone is great except that the camera doesn't work with several third party apps. Of course, neither Sony nor the app developers have been helpful. I suspect it has to do with support for the specific camera hardware, and I don't expect it to be resolved anytime soon. otherwise a great Android phone."
"1811","The first time I put the phone under water the microphone stopped working on calls. I disabled the secondary mic that is for noise suppression and now the main mic seems to be working on calls but the quality is poor. This is a disappointment for a phone with ""aqua"" in the name. The battery life is terrible. It often lasts less than 12 hours. Sony customer support was worthless as usual. Now I have to send it in and be without a phone for 2 weeks. But seriously, it's a $200 phone, so what do you expect."
"1812","It get's hot easily not like red hot but is uncomfortable also poor camera quality"
"1813","I purchased this phone when the price first dropped to $200 on Black Friday. I figured this would be an upgrade to my damaged Nexus 4, rather than repairing it. The great part of this phone is that it had more RAM, drive space and a seemingly faster processor. Plus that fact that I could add an SD card and was waterproof was a bonus.Upon use I immediately noticed that the octa-core processor would heat up the phone very easily, to the point that it would be hot to touch. I use this for everything, from setting appointments, sharing files across apps, playing Candy Crush, running with RunKeeper and playing music, using Waze/Google Maps and posting on Facebook. It acts fine with using one app at a time, but crashes, overheats and slows down completely when multitasking. This is VERY frustrating when I'm trying to make a call or quickly set up directions for navigation.On the plus side, I am happy that it is waterproof. I went running last month, and during the last quarter-mile, I got stuck in a rain storm. Did not affect the device at all.Beside the fact that it has more storage that is also expandable, my Nexus 4 with less cores and less memory easily out-performs this phone. Hopefully the Z-series of this phone is much faster, else I may have to get the more expensive Samsung S series phones to solve my frustrations."
"1814","I bought this phone in Aug of 2015 and I still love it. It has everything that I need and want with a phone. It takes decent photos, and is just the right size for me. I did almost run out of space on it once but the problem was easily resolved by uploading all of my pictures to google drive and then deleting them from my phone. As mentioned by some other reviewers it does heat up sometimes but this is rare and has never been a real problem. The battery life is good, for me itusually last a couple days unless I am constantly using my phone. I did take some pictures with it while standing in a creek where the phone was exposed to some water, not completely immersed, and it was fine. The phone looks really nice and sleek and like I said is the perfect size for me I am 5'4"" and I don't like the huge phones. At the same time the screen seems really big when I am watching something on the phone. I have had the phone almost a year and have had no hardware or software problems. I am so happy I found and bought this cell phone it has definitely met and exceeded my expectations and I only paid a little over 200 dollars for it. I will probably replace it when it is really outdated but it will be hard to part with! I definitely recommend this phone if you are an android person."
"1815","Bought for my wife. She takes a lot of pictures with her camera and this works perfectly for her. The phone part is also nice. I have a Sony and like it very much. Bluetooth with my Sony TV"
"1816","Excelent phone at a good price !! Recomended 100%"
"1817","After having this phone for a few months now, I've found much less to like about it than when I originally got it.Performance is god awful, I dont do a lot on my phone other than basic social media and google play in the background pretty regularly and that already taxes the phone pretty hard to the point I felt like my Nexus 4 was faster (which came out a couple years before this phone did)Battery life is advertised for 2 days under light load which is respectable but I havent seen even near that, if you're constantly using 4G LTE data for even just web browsing the battery drains very quickly and you'll be lucky to see 6 hours on a full charge... charging speeds are decent for micro usbthe camera must be defective for mine because it doesnt seem to focus at all, everything I try to take a picture of looks blurry and it takes forever to snap...Conclusion... Its not a bad phone for 200 bucks but the more I use it the more I wish I just lived without a phone for a bit longer and bought something better."
"1818","I love it"
"1819","My husband truly did like his new phone. Price was terrific when I bought during a flash sale, I think. He likes the phone... and I didn't have to spend three or four times as much on a phone. T-Mobile sim bought with it was perfect, too."
